source,target,weight
Agricultural Economic Loss,Crop Failure & Yield Reduction,408
Freshwater Ecosystem Degradation,Reservoir & Surface Water Shortage,280
Reservoir & Surface Water Shortage,Water Use Restrictions,255
Freshwater Ecosystem Degradation,Groundwater Depletion,227
Crop Failure & Yield Reduction,Irrigation Shortage,227
Groundwater Depletion,Reservoir & Surface Water Shortage,202
Groundwater Depletion,Water Use Restrictions,183
Crop Failure & Yield Reduction,Reservoir & Surface Water Shortage,167
Crop Failure & Yield Reduction,Groundwater Depletion,159
Crop Failure & Yield Reduction,Water Use Restrictions,157
Freshwater Ecosystem Degradation,Water Use Restrictions,153
Crop Failure & Yield Reduction,Freshwater Ecosystem Degradation,152
Wildfire Occurrence,Wildfire Risk Increase,141
Forest Dieback & Vegetation Stress,Groundwater Depletion,141
Forest Dieback & Vegetation Stress,Freshwater Ecosystem Degradation,135
Forest Dieback & Vegetation Stress,Reservoir & Surface Water Shortage,120
Crop Failure & Yield Reduction,Forest Dieback & Vegetation Stress,118
Irrigation Shortage,Water Use Restrictions,114
Irrigation Shortage,Reservoir & Surface Water Shortage,114
Inland Waterway Disruption,Reservoir & Surface Water Shortage,111
Reservoir & Surface Water Shortage,Water Supply & Sanitation Issues,109
Agricultural Economic Loss,Irrigation Shortage,103
Water Supply & Sanitation Issues,Water Use Restrictions,98
Agricultural Economic Loss,Reservoir & Surface Water Shortage,91
Agricultural Economic Loss,Water Use Restrictions,81
Forest Dieback & Vegetation Stress,Water Use Restrictions,78
Crop Failure & Yield Reduction,Livestock Stress & Mortality,74
Freshwater Ecosystem Degradation,Inland Waterway Disruption,64
Forest Dieback & Vegetation Stress,Wildfire Risk Increase,64
Freshwater Ecosystem Degradation,Water Supply & Sanitation Issues,62
Agricultural Economic Loss,Freshwater Ecosystem Degradation,61
Freshwater Ecosystem Degradation,Irrigation Shortage,60
Freshwater Ecosystem Degradation,Wetland Loss,60
Groundwater Depletion,Water Supply & Sanitation Issues,58
Crop Failure & Yield Reduction,Water Supply & Sanitation Issues,57
Agricultural Economic Loss,Groundwater Depletion,57
Broader Economic Disruption,Groundwater Depletion,55
Groundwater Depletion,Irrigation Shortage,53
Broader Economic Disruption,Crop Failure & Yield Reduction,53
Crop Failure & Yield Reduction,Social Impacts,50
Agricultural Economic Loss,Forest Dieback & Vegetation Stress,49
Forest Dieback & Vegetation Stress,Water Supply & Sanitation Issues,44
Forest Dieback & Vegetation Stress,Wildfire Occurrence,44
Groundwater Depletion,Wetland Loss,38
Reservoir & Surface Water Shortage,Social Impacts,38
Crop Failure & Yield Reduction,Wildfire Risk Increase,34
Broader Economic Disruption,Forest Dieback & Vegetation Stress,33
Social Impacts,Water Supply & Sanitation Issues,33
Broader Economic Disruption,Reservoir & Surface Water Shortage,33
Forest Dieback & Vegetation Stress,Social Impacts,32
Inland Waterway Disruption,Water Use Restrictions,32
