source,target,weight
Agricultural Economic Loss,Crop Failure & Yield Reduction,470
Crop Failure & Yield Reduction,Reservoir & Surface Water Shortage,402
Crop Failure & Yield Reduction,Freshwater Ecosystem Degradation,386
Freshwater Ecosystem Degradation,Reservoir & Surface Water Shortage,382
Crop Failure & Yield Reduction,Groundwater Depletion,369
Crop Failure & Yield Reduction,Irrigation Shortage,340
Freshwater Ecosystem Degradation,Groundwater Depletion,340
Crop Failure & Yield Reduction,Water Use Restrictions,338
Reservoir & Surface Water Shortage,Water Use Restrictions,307
Crop Failure & Yield Reduction,Forest Dieback & Vegetation Stress,304
Groundwater Depletion,Reservoir & Surface Water Shortage,290
Forest Dieback & Vegetation Stress,Groundwater Depletion,278
Forest Dieback & Vegetation Stress,Freshwater Ecosystem Degradation,266
Freshwater Ecosystem Degradation,Water Use Restrictions,265
Groundwater Depletion,Water Use Restrictions,259
Crop Failure & Yield Reduction,Water Supply & Sanitation Issues,251
Forest Dieback & Vegetation Stress,Reservoir & Surface Water Shortage,247
Irrigation Shortage,Reservoir & Surface Water Shortage,238
Reservoir & Surface Water Shortage,Water Supply & Sanitation Issues,219
Freshwater Ecosystem Degradation,Water Supply & Sanitation Issues,212
Irrigation Shortage,Water Use Restrictions,210
Agricultural Economic Loss,Reservoir & Surface Water Shortage,202
Agricultural Economic Loss,Freshwater Ecosystem Degradation,201
Agricultural Economic Loss,Irrigation Shortage,200
Forest Dieback & Vegetation Stress,Water Use Restrictions,187
Water Supply & Sanitation Issues,Water Use Restrictions,178
Groundwater Depletion,Irrigation Shortage,175
Crop Failure & Yield Reduction,Wildfire Risk Increase,174
Freshwater Ecosystem Degradation,Irrigation Shortage,174
Groundwater Depletion,Water Supply & Sanitation Issues,173
Agricultural Economic Loss,Groundwater Depletion,172
Agricultural Economic Loss,Water Use Restrictions,171
Broader Economic Disruption,Crop Failure & Yield Reduction,163
Forest Dieback & Vegetation Stress,Wildfire Risk Increase,156
Agricultural Economic Loss,Forest Dieback & Vegetation Stress,155
Water Use Restrictions,Wildfire Risk Increase,153
Broader Economic Disruption,Groundwater Depletion,149
Wildfire Occurrence,Wildfire Risk Increase,147
Forest Dieback & Vegetation Stress,Water Supply & Sanitation Issues,146
Reservoir & Surface Water Shortage,Wildfire Risk Increase,146
Crop Failure & Yield Reduction,Social Impacts,136
Crop Failure & Yield Reduction,Wildfire Occurrence,134
Inland Waterway Disruption,Reservoir & Surface Water Shortage,131
Irrigation Shortage,Water Supply & Sanitation Issues,130
Forest Dieback & Vegetation Stress,Irrigation Shortage,129
Groundwater Depletion,Wildfire Risk Increase,127
Groundwater Depletion,Social Impacts,127
Freshwater Ecosystem Degradation,Wildfire Risk Increase,121
Water Use Restrictions,Wildfire Occurrence,115
Forest Dieback & Vegetation Stress,Wildfire Occurrence,115
Groundwater Depletion,Wildfire Occurrence,114
Reservoir & Surface Water Shortage,Social Impacts,112
Broader Economic Disruption,Forest Dieback & Vegetation Stress,110
Broader Economic Disruption,Reservoir & Surface Water Shortage,109
Broader Economic Disruption,Freshwater Ecosystem Degradation,109
Crop Failure & Yield Reduction,Inland Waterway Disruption,109
Reservoir & Surface Water Shortage,Wildfire Occurrence,108
Freshwater Ecosystem Degradation,Wildfire Occurrence,106
Agricultural Economic Loss,Water Supply & Sanitation Issues,105
Crop Failure & Yield Reduction,Livestock Stress & Mortality,104
Irrigation Shortage,Wildfire Risk Increase,96
Broader Economic Disruption,Water Supply & Sanitation Issues,93
Freshwater Ecosystem Degradation,Wetland Loss,91
Water Supply & Sanitation Issues,Wildfire Risk Increase,90
Broader Economic Disruption,Water Use Restrictions,90
Freshwater Ecosystem Degradation,Social Impacts,89
Broader Economic Disruption,Social Impacts,87
Forest Dieback & Vegetation Stress,Social Impacts,87
